Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,PW,CD,Cs,Cation_H,Cation_K,Cation_Li,Cation_Na,Anion_OH,Anion_SO4
27,4,9,1.88,1.18,3,3,3,4,28,2,0.4,2,125,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,28,2,0.4,5,112,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,28,2,0.4,10,72,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,8,2,0.4,0.5,405,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,8,2,0.4,1,385,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,8,2,0.4,2,278,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,8,2,0.4,5,200,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,8,2,0.4,10,158,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,18,2,0.4,0.5,825,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,18,2,0.4,1,782,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,18,2,0.4,2,550,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,18,2,0.4,5,375,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,18,2,0.4,10,268,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,4,4,1,208,2,0.45,2,513,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,4,4,1,208,2,0.45,5,434,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,4,4,1,208,2,0.45,10,368,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,4,4,1,208,2,0.45,15,324,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,25.1,2,0.4,2,485,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,25.1,2,0.4,3,464,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,25.1,2,0.4,4,446,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
