,Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,PW,CD,Cs,Cation_H,Cation_K,Cation_Li,Cation_Na,Anion_OH,Anion_SO4
197,27,4,9,1.88,1.18,1,1,4,4,128.4,6.0,0.5,10.0,630.0,False,True,False,False,True,False
198,27,4,9,1.88,1.18,1,1,4,4,100.2,6.0,0.5,1.0,448.0,False,True,False,False,True,False
199,27,4,9,1.88,1.18,1,1,4,4,100.2,6.0,0.5,3.0,427.0,False,True,False,False,True,False
200,27,4,9,1.88,1.18,1,1,4,4,100.2,6.0,0.5,5.0,406.0,False,True,False,False,True,False
201,27,4,9,1.88,1.18,1,1,4,4,100.2,6.0,0.5,7.0,385.0,False,True,False,False,True,False
202,27,4,9,1.88,1.18,1,1,4,4,100.2,6.0,0.5,10.0,348.0,False,True,False,False,True,False
203,27,4,9,1.88,1.18,3,4,4,1,98.07,2.0,0.45,1.0,1246.0,False,True,False,False,True,False
204,27,4,9,1.88,1.18,3,4,4,1,98.07,2.0,0.45,2.0,1178.0,False,True,False,False,True,False
205,27,4,9,1.88,1.18,3,4,4,1,98.07,2.0,0.45,4.0,1088.0,False,True,False,False,True,False
206,27,4,9,1.88,1.18,3,4,4,1,98.07,2.0,0.45,8.0,957.0,False,True,False,False,True,False
207,27,4,9,1.88,1.18,3,4,4,1,98.07,2.0,0.45,16.0,787.0,False,True,False,False,True,False
208,27,4,9,1.88,1.18,3,3,4,3,111.3,2.0,0.5,1.0,1008.0,False,True,False,False,True,False
209,27,4,9,1.88,1.18,3,3,4,3,111.3,2.0,0.5,2.0,964.0,False,True,False,False,True,False
210,27,4,9,1.88,1.18,3,3,4,3,111.3,2.0,0.5,5.0,873.0,False,True,False,False,True,False
211,27,4,9,1.88,1.18,3,3,4,3,111.3,2.0,0.5,8.0,788.0,False,True,False,False,True,False
212,27,4,9,1.88,1.18,3,3,4,3,111.3,2.0,0.5,10.0,740.0,False,True,False,False,True,False
213,27,4,9,1.88,1.18,1,1,4,1,16.3,3.0,0.45,1.0,518.4,False,True,False,False,True,False
214,27,4,9,1.88,1.18,1,1,4,1,16.3,3.0,0.45,2.0,397.0,False,True,False,False,True,False
215,27,4,9,1.88,1.18,1,1,4,1,16.3,3.0,0.45,3.0,331.0,False,True,False,False,True,False
216,27,4,9,1.88,1.18,1,1,4,1,16.3,3.0,0.45,5.0,272.0,False,True,False,False,True,False
217,27,4,9,1.88,1.18,1,1,4,1,16.3,3.0,0.45,10.0,215.0,False,True,False,False,True,False
218,27,4,9,1.88,1.18,1,1,4,1,22.4,3.0,0.45,1.0,688.8,False,True,False,False,True,False
219,27,4,9,1.88,1.18,1,1,4,1,22.4,3.0,0.45,2.0,538.0,False,True,False,False,True,False
220,27,4,9,1.88,1.18,1,1,4,1,22.4,3.0,0.45,3.0,456.0,False,True,False,False,True,False
221,27,4,9,1.88,1.18,1,1,4,1,22.4,3.0,0.45,5.0,384.0,False,True,False,False,True,False
222,27,4,9,1.88,1.18,1,1,4,1,22.4,3.0,0.45,10.0,317.0,False,True,False,False,True,False
223,27,4,9,1.88,1.18,3,3,3,4,28.0,2.0,0.4,0.5,146.0,False,True,False,False,True,False
224,27,4,9,1.88,1.18,3,3,3,4,28.0,2.0,0.4,1.0,139.0,False,True,False,False,True,False
225,27,4,9,1.88,1.18,3,3,3,4,28.0,2.0,0.4,2.0,125.0,False,True,False,False,True,False
226,27,4,9,1.88,1.18,3,3,3,4,28.0,2.0,0.4,5.0,112.0,False,True,False,False,True,False
227,27,4,9,1.88,1.18,3,3,3,4,28.0,2.0,0.4,10.0,72.0,False,True,False,False,True,False
228,27,4,9,1.88,1.18,3,3,3,4,8.0,2.0,0.4,0.5,405.0,False,True,False,False,True,False
229,27,4,9,1.88,1.18,3,3,3,4,8.0,2.0,0.4,1.0,385.0,False,True,False,False,True,False
230,27,4,9,1.88,1.18,3,3,3,4,8.0,2.0,0.4,2.0,278.0,False,True,False,False,True,False
231,27,4,9,1.88,1.18,3,3,3,4,8.0,2.0,0.4,5.0,200.0,False,True,False,False,True,False
232,27,4,9,1.88,1.18,3,3,3,4,8.0,2.0,0.4,10.0,158.0,False,True,False,False,True,False
233,27,4,9,1.88,1.18,3,3,3,4,18.0,2.0,0.4,0.5,825.0,False,True,False,False,True,False
234,27,4,9,1.88,1.18,3,3,3,4,18.0,2.0,0.4,1.0,782.0,False,True,False,False,True,False
235,27,4,9,1.88,1.18,3,3,3,4,18.0,2.0,0.4,2.0,550.0,False,True,False,False,True,False
236,27,4,9,1.88,1.18,3,3,3,4,18.0,2.0,0.4,5.0,375.0,False,True,False,False,True,False
237,27,4,9,1.88,1.18,3,3,3,4,18.0,2.0,0.4,10.0,268.0,False,True,False,False,True,False
238,27,4,9,1.88,1.18,3,4,4,1,208.0,2.0,0.45,2.0,513.0,False,True,False,False,True,False
239,27,4,9,1.88,1.18,3,4,4,1,208.0,2.0,0.45,5.0,434.0,False,True,False,False,True,False
240,27,4,9,1.88,1.18,3,4,4,1,208.0,2.0,0.45,10.0,368.0,False,True,False,False,True,False
241,27,4,9,1.88,1.18,3,4,4,1,208.0,2.0,0.45,15.0,324.0,False,True,False,False,True,False
242,28,4,10,1.91,1.17,0,0,5,0,24.2,2.0,0.55,5.0,1725.0,False,False,True,False,True,False
243,28,4,10,1.91,1.17,0,0,5,0,24.2,2.0,0.55,10.0,1584.0,False,False,True,False,True,False
